MsgID.GLOBAL_HOME,1527961349.3495922,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3497550,-122.3974502,37.7924796,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3497550,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3500409,-0.0893516,0.2754368,-0.0825001
MsgID.LOCAL_VELOCITY,1527961349.3500409,0.0000105,0.0000195,-0.0000349
MsgID.GLOBAL_POSITION,1527961349.3502796,-122.3974485,37.7924808,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3502796,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3505874,0.0416898,0.4252621,-0.0825000
MsgID.LOCAL_VELOCITY,1527961349.3505874,-0.0000191,0.0000297,0.0000034
MsgID.GLOBAL_POSITION,1527961349.3509526,-122.3974500,37.7924807,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3509526,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3511660,0.0270982,0.2927251,-0.0824999
MsgID.LOCAL_VELOCITY,1527961349.3511660,0.0000460,0.0001113,0.0000259
MsgID.GLOBAL_POSITION,1527961349.3513775,-122.3974502,37.7924798,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3513775,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3515320,-0.0730587,0.2755010,-0.0825003
MsgID.LOCAL_VELOCITY,1527961349.3515320,0.0000173,0.0000256,0.0000761
MsgID.STATE,1527961349.3518510,True,True
MsgID.GLOBAL_HOME,1527961349.3520303,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3521986,-122.3974500,37.7924797,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3521986,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3524213,-0.0816393,0.2934642,-0.0825117
MsgID.LOCAL_VELOCITY,1527961349.3524213,0.0000239,-0.0000373,0.0000035
MsgID.GLOBAL_POSITION,1527961349.3527229,-122.3974497,37.7924802,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3527229,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3529587,-0.0243412,0.3123119,-0.0825608
MsgID.LOCAL_VELOCITY,1527961349.3529587,-0.0000642,0.0000070,-0.0000270
MsgID.GLOBAL_POSITION,1527961349.3532124,-122.3974483,37.7924814,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3532124,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3534551,0.1053374,0.4434806,-0.0826555
MsgID.LOCAL_VELOCITY,1527961349.3534551,-0.0000101,-0.0000385,0.0000313
MsgID.GLOBAL_POSITION,1527961349.3537414,-122.3974496,37.7924813,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3537414,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3539810,0.1019027,0.3295325,-0.0827623
MsgID.LOCAL_VELOCITY,1527961349.3539810,0.0000108,-0.0000392,0.0000100
MsgID.STATE,1527961349.3543248,True,True
MsgID.GLOBAL_HOME,1527961349.3545790,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3547835,-122.3974505,37.7924802,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3547835,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3550205,-0.0263932,0.2416084,-0.0828252
MsgID.LOCAL_VELOCITY,1527961349.3550205,0.0000175,-0.0000228,0.0000076
MsgID.GLOBAL_POSITION,1527961349.3552635,-122.3974498,37.7924787,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3552635,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3555262,-0.1925915,0.3048340,-0.0828059
MsgID.LOCAL_VELOCITY,1527961349.3555262,0.0000035,-0.0000603,0.0000866
MsgID.GLOBAL_POSITION,1527961349.3618183,-122.3974499,37.7924795,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3618183,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3620229,-0.1008995,0.3012483,-0.0827108
MsgID.LOCAL_VELOCITY,1527961349.3620229,-0.0000391,-0.0000016,0.0000095
MsgID.GLOBAL_POSITION,1527961349.3622861,-122.3974500,37.7924810,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3622861,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3625064,0.0617703,0.2934056,-0.0825940
MsgID.LOCAL_VELOCITY,1527961349.3625064,0.0000227,-0.0000063,-0.0001402
MsgID.STATE,1527961349.3627629,True,True
MsgID.GLOBAL_HOME,1527961349.3629456,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3630967,-122.3974507,37.7924804,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3630967,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3632689,0.0014940,0.2312197,-0.0825188
MsgID.LOCAL_VELOCITY,1527961349.3632689,-0.0000205,-0.0000081,-0.0000241
MsgID.GLOBAL_POSITION,1527961349.3634493,-122.3974512,37.7924798,0.0820000
MsgID.LOCAL_VELOCITY,1527961349.3634493,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3636389,-0.0691683,0.1868733,-0.0821064
MsgID.LOCAL_VELOCITY,1527961349.3636389,-0.0000083,-0.0000056,0.0001077
MsgID.GLOBAL_POSITION,1527961349.3638313,-122.3974487,37.7924796,0.0790000
MsgID.LOCAL_VELOCITY,1527961349.3638313,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3640161,-0.0874769,0.4086377,-0.0798603
MsgID.LOCAL_VELOCITY,1527961349.3640161,-0.0000036,0.0000205,-0.0000421
MsgID.GLOBAL_POSITION,1527961349.3642278,-122.3974494,37.7924804,0.0740000
MsgID.LOCAL_VELOCITY,1527961349.3642278,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3643866,0.0019999,0.3466340,-0.0744735
MsgID.LOCAL_VELOCITY,1527961349.3643866,0.0000623,-0.0000237,-0.0001008
MsgID.STATE,1527961349.3646441,True,True
MsgID.GLOBAL_HOME,1527961349.3648419,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3650153,-122.3974500,37.7924811,0.0650000
MsgID.LOCAL_VELOCITY,1527961349.3650153,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3652084,0.0802920,0.2933302,-0.0658762
MsgID.LOCAL_VELOCITY,1527961349.3652084,-0.0000048,0.0000173,0.0000925
MsgID.GLOBAL_POSITION,1527961349.3653884,-122.3974498,37.7924789,0.0550000
MsgID.LOCAL_VELOCITY,1527961349.3653884,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3655322,-0.1658495,0.3041453,-0.0553712
MsgID.LOCAL_VELOCITY,1527961349.3655322,-0.0000102,0.0000075,0.0005715
MsgID.GLOBAL_POSITION,1527961349.3657532,-122.3974489,37.7924801,0.0470000
MsgID.LOCAL_VELOCITY,1527961349.3657532,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1527961349.3658931,-0.0408279,0.3854842,-0.0474581
MsgID.LOCAL_VELOCITY,1527961349.3658931,0.0007937,-0.0046806,-0.0370721
MsgID.GLOBAL_POSITION,1527961349.3660688,-122.3974505,37.7924813,0.0510000
MsgID.LOCAL_VELOCITY,1527961349.3660688,0.0000000,-0.0200000,-0.0400000
MsgID.LOCAL_POSITION,1527961349.3662965,0.1013456,0.2434897,-0.0511114
MsgID.LOCAL_VELOCITY,1527961349.3662965,0.0078853,-0.0297100,-0.0492939
MsgID.STATE,1527961349.3666804,True,True
MsgID.GLOBAL_HOME,1527961349.3669314,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3670912,-122.3974516,37.7924814,0.0540000
MsgID.LOCAL_VELOCITY,1527961349.3670912,0.0000000,-0.0400000,-0.0300000
MsgID.LOCAL_POSITION,1527961349.3672736,0.1102232,0.1462904,-0.0545037
MsgID.LOCAL_VELOCITY,1527961349.3672736,0.0089665,-0.0412408,-0.0347847
MsgID.GLOBAL_POSITION,1527961349.3674874,-122.3974499,37.7924804,0.0540000
MsgID.LOCAL_VELOCITY,1527961349.3674874,0.0000000,-0.0300000,-0.0100000
MsgID.LOCAL_POSITION,1527961349.3676536,0.0009151,0.2956780,-0.0542927
MsgID.LOCAL_VELOCITY,1527961349.3676536,0.0056144,-0.0384629,-0.0169502
MsgID.GLOBAL_POSITION,1527961349.3678541,-122.3974503,37.7924802,0.0530000
MsgID.LOCAL_VELOCITY,1527961349.3678541,0.0100000,-0.0400000,-0.0100000
MsgID.LOCAL_POSITION,1527961349.3680434,-0.0263682,0.2666419,-0.0536341
MsgID.LOCAL_VELOCITY,1527961349.3680434,0.0124771,-0.0468445,-0.0196470
MsgID.GLOBAL_POSITION,1527961349.3682582,-122.3974505,37.7924799,0.0550000
MsgID.LOCAL_VELOCITY,1527961349.3682582,0.0200000,-0.0500000,-0.0100000
MsgID.LOCAL_POSITION,1527961349.3684800,-0.0549312,0.2468478,-0.0558177
MsgID.LOCAL_VELOCITY,1527961349.3684800,0.0216892,-0.0509999,-0.0120430
MsgID.STATE,1527961349.3687565,True,True
MsgID.GLOBAL_HOME,1527961349.3689418,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3690770,-122.3974501,37.7924786,0.0580000
MsgID.LOCAL_VELOCITY,1527961349.3690770,0.0200000,-0.0500000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3692644,-0.1985933,0.2790246,-0.0587997
MsgID.LOCAL_VELOCITY,1527961349.3692644,0.0279158,-0.0503594,-0.0056502
MsgID.GLOBAL_POSITION,1527961349.3694646,-122.3974491,37.7924792,0.0620000
MsgID.LOCAL_VELOCITY,1527961349.3694646,0.0400000,-0.0700000,-0.0100000
MsgID.LOCAL_POSITION,1527961349.3696117,-0.1337158,0.3707510,-0.0624051
MsgID.LOCAL_VELOCITY,1527961349.3696117,0.0456400,-0.0763288,-0.0128921
MsgID.GLOBAL_POSITION,1527961349.3698337,-122.3974508,37.7924807,0.0610000
MsgID.LOCAL_VELOCITY,1527961349.3698337,0.0800000,-0.1100000,0.0300000
MsgID.LOCAL_POSITION,1527961349.3699887,0.0273071,0.2146227,-0.0616961
MsgID.LOCAL_VELOCITY,1527961349.3699887,0.0866940,-0.1122112,0.0322097
MsgID.GLOBAL_POSITION,1527961349.3701668,-122.3974510,37.7924805,0.0580000
MsgID.LOCAL_VELOCITY,1527961349.3701668,0.0400000,-0.0700000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3703785,0.0143465,0.1965064,-0.0586755
MsgID.LOCAL_VELOCITY,1527961349.3703785,0.0472150,-0.0781228,0.0039097
MsgID.STATE,1527961349.3707292,True,True
MsgID.GLOBAL_HOME,1527961349.3709872,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3711386,-122.3974513,37.7924806,0.0580000
MsgID.LOCAL_VELOCITY,1527961349.3711386,0.0200000,-0.0500000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3713381,0.0184093,0.1775080,-0.0588020
MsgID.LOCAL_VELOCITY,1527961349.3713381,0.0247807,-0.0560854,0.0004810
MsgID.GLOBAL_POSITION,1527961349.3716147,-122.3974500,37.7924804,0.0590000
MsgID.LOCAL_VELOCITY,1527961349.3716147,0.0200000,-0.0400000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3718841,0.0028185,0.2921284,-0.0590782
MsgID.LOCAL_VELOCITY,1527961349.3718841,0.0236580,-0.0463686,-0.0017032
MsgID.GLOBAL_POSITION,1527961349.3721206,-122.3974515,37.7924807,0.0610000
MsgID.LOCAL_VELOCITY,1527961349.3721206,0.0200000,-0.0400000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3723567,0.0311808,0.1558087,-0.0615531
MsgID.LOCAL_VELOCITY,1527961349.3723567,0.0238410,-0.0490328,0.0003370
MsgID.GLOBAL_POSITION,1527961349.3726132,-122.3974533,37.7924819,0.0650000
MsgID.LOCAL_VELOCITY,1527961349.3726132,0.0200000,-0.0400000,0.0100000
MsgID.LOCAL_POSITION,1527961349.3728781,0.1680242,-0.0066985,-0.0656594
MsgID.LOCAL_VELOCITY,1527961349.3728781,0.0205092,-0.0413827,0.0201287
MsgID.STATE,1527961349.3731534,True,True
MsgID.GLOBAL_HOME,1527961349.3733585,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3735340,-122.3974528,37.7924810,0.0700000
MsgID.LOCAL_VELOCITY,1527961349.3735340,0.0000000,-0.0200000,0.0400000
MsgID.LOCAL_POSITION,1527961349.3737776,0.0595377,0.0445792,-0.0702584
MsgID.LOCAL_VELOCITY,1527961349.3737776,0.0082127,-0.0240257,0.0448814
MsgID.GLOBAL_POSITION,1527961349.3740811,-122.3974507,37.7924812,0.0720000
MsgID.LOCAL_VELOCITY,1527961349.3740811,0.0000000,-0.0100000,0.0800000
MsgID.LOCAL_POSITION,1527961349.3742704,0.0911239,0.2302882,-0.0730032
MsgID.LOCAL_VELOCITY,1527961349.3742704,0.0061175,-0.0196427,0.0848239
MsgID.GLOBAL_POSITION,1527961349.3744843,-122.3974534,37.7924812,0.0890000
MsgID.LOCAL_VELOCITY,1527961349.3744843,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3746786,0.0844782,-0.0098655,-0.0893953
MsgID.LOCAL_VELOCITY,1527961349.3746786,-0.0000375,-0.0000201,-0.0000281
MsgID.GLOBAL_POSITION,1527961349.3748522,-122.3974529,37.7924798,0.1210000
MsgID.LOCAL_VELOCITY,1527961349.3748522,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3750684,-0.0658388,0.0335644,-0.1212083
MsgID.LOCAL_VELOCITY,1527961349.3750684,-0.0000172,0.0000034,0.0000382
MsgID.STATE,1527961349.3754435,True,True
MsgID.GLOBAL_HOME,1527961349.3756194,-122.3974533,37.7924804,0.0000000
